block_number,timestamp,price
22636693,1749105683,2609.808076265532095180
22636394,1749102011,2621.480490403203857798
22636095,1749098375,2624.393160328883899511
22635796,1749094775,2622.768627953426326819
22635497,1749091175,2619.723158854853223527
22635198,1749087551,2610.396327867169402364
22634899,1749083951,2609.545936613065795023
22634600,1749080363,2608.729875162141764401
22634301,1749076763,2614.102110969931344932
22634002,1749073079,2612.849426415078947522
22633703,1749069491,2609.528150105592056902
22633404,1749065879,2629.978419276373883105
22633105,1749062255,2639.69358530623668582
22632806,1749058619,2641.119928609394508552
22632507,1749055019,2651.151555396737483315
22632208,1749051419,2653.429993570316036952
22631909,1749047807,2610.91201380128385796
22631610,1749044183,2616.554217935565935726
22631311,1749040559,2623.770509856817489539
22631012,1749036923,2634.658956898743669552
22630713,1749033275,2640.61445210207564004
22630414,1749029675,2634.892883303356012749
22630115,1749026075,2637.221421467606547742
22629816,1749022427,2626.72749692925304526
22629517,1749018779,2620.774610188659997120
22629218,1749015179,2628.379186142653812449
22628919,1749011567,2631.978819819874542670
22628620,1749007979,2635.816798914804067936
22628321,1749004343,2617.504421403550660296
22628022,1749000731,2610.379877831433309262
22627723,1748997119,2595.222703408337425286
22627424,1748993519,2600.55142335050829777
22627125,1748989919,2595.497388260198852413
22626826,1748986259,2608.125684065391981683
22626527,1748982671,2605.341895595557931087
22626228,1748979047,2620.625110387101725716
22625929,1748975447,2614.446800894276899947
22625630,1748971847,2620.215773443703316764
22625331,1748968247,2616.703457689552053223
22625032,1748964647,2643.306094395635139333
22624733,1748961035,2628.449808245661732807
22624434,1748957387,2620.172618189738950580
22624135,1748953775,2603.612670229941585613
22623836,1748950187,2613.240784817929330125
22623537,1748946587,2612.434634630224209653
22623238,1748942951,2601.755933326052318361
22622939,1748939291,2601.613596128406849868
22622640,1748935667,2613.247738844563448784
22622341,1748932055,2612.322965102058051715
22622042,1748928443,2599.466433363166989073
